iter	Passed	Remaining
400	35876	53591
401	35971	53510
402	36070	53433
403	36173	53364
404	36254	53262
405	36346	53176
406	36450	53108
407	36556	53043
408	36641	52945
409	36732	52859
410	36811	52753
411	36882	52638
412	36969	52545
413	37067	52467
414	37181	52411
415	37274	52327
416	37359	52231
417	37434	52122
418	37509	52012
419	37593	51915
420	37688	51832
421	37792	51763
422	37862	51647
423	37935	51535
424	38010	51425
425	38083	51314
426	38168	51218
427	38252	51121
428	38399	51109
429	38486	51017
430	38575	50927
431	38699	50882
432	38784	50787
433	38872	50695
434	38979	50628
435	39149	50642
436	39242	50556
437	39373	50520
438	39460	50427
439	39547	50333
440	39640	50247
441	39723	50148
442	39878	50140
443	39968	50050
444	40051	49952
445	40135	49854
446	40225	49763
447	40351	49718
448	40492	49690
449	40602	49624
450	40691	49534
451	40805	49471
452	40891	49377
453	40965	49267
454	41056	49178
455	41146	49086
456	41261	49026
457	41351	48935
458	41432	48834
459	41509	48728
460	41585	48621
461	41668	48523
462	41782	48460
463	41900	48402
464	41996	48318
465	42082	48222
466	42210	48175
467	42314	48101
468	42394	47999
469	42479	47901
470	42587	47831
471	42664	47726
472	42788	47673
473	42874	47578
474	42959	47481
475	43045	47385
476	43128	47287
477	43231	47211
478	43335	47134
479	43444	47064
480	43520	46958
481	43602	46858
482	43680	46755
483	43754	46647
484	43858	46571
485	43950	46483
486	44032	46383
487	44121	46291
488	44199	46187
489	44272	46079
490	44349	45975
491	44453	45899
492	44538	45803
493	44616	45699
494	44697	45600
495	44787	45510
496	44903	45445
497	44983	45344
498	45099	45279
499	45181	45181
500	45257	45076
501	45330	44969
502	45414	44873
503	45491	44769
504	45564	44662
505	45670	44587
506	45746	44483
507	45821	44377
508	45897	44274
509	45974	44171
510	46048	44065
511	46136	43974
512	46240	43896
513	46329	43805
514	46404	43701
515	46491	43608
516	46579	43516
517	46657	43414
518	46730	43309
519	46834	43231
520	46916	43134
521	47014	43051
522	47100	42957
523	47175	42853
524	47244	42745
525	47371	42688
526	47470	42606
527	47568	42523
528	47651	42426
529	47720	42318
530	47805	42224
531	47898	42136
532	47968	42029
533	48080	41957
534	48190	41885
535	48293	41806
536	48365	41700
537	48441	41598
538	48519	41497
539	48632	41427
540	48737	41350
541	48826	41259
542	48910	41163
543	48993	41067
544	49071	40967
545	49152	40870
546	49221	40763
547	49347	40702
548	49460	40631
549	49549	40540
550	49634	40446
551	49712	40346
552	49786	40243
553	49854	40135
554	49955	40054
555	50035	39956
556	50152	39888
557	50244	39799
558	50341	39715
559	50416	39613
560	50498	39516
561	50602	39437
562	50697	39351
563	50779	39254
564	50868	39163
565	50945	39064
566	51019	38961
567	51114	38875
568	51227	38802
569	51316	38712
570	51401	38618
571	51470	38512
572	51563	38425
573	51650	38333
574	51729	38234
575	51830	38152
576	51910	38055
577	51992	37959
578	52095	37879
579	52189	37792
580	52277	37701
581	52352	37600
582	52453	37518
583	52529	37417
584	52603	37316
585	52678	37216
586	52751	37114
587	52849	37030
588	52937	36939
589	53045	36862
590	53161	36790
591	53253	36701
592	53335	36606
593	53444	36529
594	53555	36453
595	53628	36352
596	53731	36271
597	53807	36171
598	53883	36071
599	54008	36005
600	54112	35925
601	54191	35827
602	54274	35732
603	54375	35650
604	54492	35577
605	54593	35494
606	54716	35426
607	54797	35329
608	54875	35232
609	54959	35138
610	55091	35074
611	55177	34981
612	55258	34885
613	55349	34795
614	55432	34701
615	55514	34606
616	55585	34504
617	55707	34434
618	55799	34345
619	55911	34268
620	56024	34191
621	56107	34097
622	56186	34000
623	56274	33908
624	56383	33829
625	56484	33746
626	56604	33673
627	56682	33576
628	56765	33481
629	56865	33397
630	56934	33294
631	57044	33215
632	57117	33115
633	57197	33019
634	57303	32938
635	57384	32842
636	57455	32741
637	57528	32641
638	57649	32568
639	57734	32475
640	57814	32379
641	57924	32300
642	58013	32209
643	58081	32107
644	58157	32009
645	58270	31931
646	58362	31842
647	58444	31747
648	58516	31647
649	58610	31559
650	58689	31463
651	58764	31364
652	58872	31284
653	58949	31187
654	59027	31090
655	59117	31000
656	59230	30922
657	59345	30845
658	59428	30751
659	59540	30672
660	59614	30573
661	59692	30477
662	59775	30383
663	59869	30295
664	59966	30208
665	60099	30139
666	60241	30075
667	60339	29989
668	60438	29903
669	60519	29808
670	60593	29709
671	60666	29611
672	60741	29513
673	60868	29441
674	60956	29349
675	61033	29252
676	61106	29154
677	61187	29059
678	61255	28958
679	61333	28862
680	61456	28787
681	61545	28697
682	61612	28596
683	61698	28503
684	61775	28407
685	61864	28317
686	61954	28226
687	62049	28138
688	62151	28053
689	62226	27956
690	62309	27863
691	62385	27767
692	62463	27671
693	62545	27577
694	62651	27494
695	62722	27395
696	62819	27308
697	62903	27216
698	62981	27120
699	63053	27022
